t (s),V (mV)
0,20.2269
1.049,20.2168
2.081,20.1918
3.081,20.1717
4.081,20.1512
5.081,20.1319
6.081,20.1123
7.08,20.0924
8.08,20.0725
9.081,20.0529
10.081,20.0347
11.081,20.0169
12.081,19.9981
13.08,19.9792
14.081,19.9614
15.081,19.9424
16.08,19.9225
17.08,19.9058
18.081,19.8884
19.081,19.8696
20.081,19.852
21.081,19.8343
22.081,19.8169
23.081,19.7998
24.08,19.7829
25.08,19.7644
26.081,19.7506
27.081,19.7356
28.081,19.7187
29.081,19.7048
30.081,19.687
31.081,19.6691
32.08,19.6516
33.08,19.6352
34.081,19.6189
35.081,19.603
36.081,19.5864
37.08,19.569
38.08,19.5542
39.081,19.5372
40.081,19.5225
41.081,19.5058
42.081,19.4899
43.08,19.4718
44.081,19.4563
45.081,19.4393
46.081,19.4246
47.081,19.4076
48.08,19.3906
49.08,19.3742
50.081,19.3582
51.081,19.3423
52.08,19.326
53.081,19.3108
54.081,19.2951
55.081,19.2801
56.08,19.2645
57.08,19.2497
58.08,19.233
59.081,19.2171
60.081,19.2019
61.081,19.1866
62.08,19.1705
63.08,19.1558
64.081,19.1412
65.082,19.1262
66.08,19.1113
67.08,19.0969
68.08,19.0824
69.081,19.0663
70.081,19.0522
71.081,19.0382
72.081,19.0223
73.081,19.0082
74.081,18.9943
75.08,18.9785
76.08,18.9652
77.08,18.9515
78.08,18.9362
79.081,18.921
80.081,18.9042
81.08,18.8908
82.081,18.8791
83.081,18.864
84.081,18.8501
85.081,18.8337
86.081,18.8185
87.081,18.8046
88.08,18.7889
89.08,18.7732
90.081,18.7597
91.081,18.7441
92.081,18.73
93.08,18.714
94.081,18.6981
95.081,18.6839
96.081,18.6691
97.08,18.6543
98.08,18.6398
99.08,18.625
100.081,18.6105
101.081,18.5966
102.08,18.5818
103.081,18.5676
104.081,18.5527
105.081,18.5384
106.08,18.5245
107.08,18.5097
108.081,18.495
109.081,18.4825
110.08,18.4681
111.08,18.4549
112.081,18.4406
113.081,18.4259
114.081,18.4111
115.08,18.3961
116.081,18.3837
117.081,18.3698
118.081,18.3556
119.08,18.3411
120.081,18.3266
121.081,18.312
122.081,18.2984
123.081,18.2854
124.08,18.2709
125.08,18.2581
126.081,18.2424
127.081,18.2276
128.08,18.2161
129.08,18.2012
130.081,18.1873
131.081,18.1735
132.08,18.1591
133.081,18.1449
134.081,18.1313
135.081,18.1178
136.08,18.1039
137.08,18.0903
138.081,18.0767
139.081,18.0638
140.08,18.0484
141.081,18.0356
142.081,18.0228
143.08,18.0092
144.081,17.9964
145.081,17.9836
146.08,17.9673
147.081,17.9548
148.081,17.9412
149.081,17.928
150.081,17.9139
151.081,17.9005
152.08,17.8858
153.08,17.8722
154.08,17.858
155.081,17.844
156.081,17.8298
157.081,17.8164
158.081,17.8028
159.081,17.7889
160.08,17.7749
161.08,17.7608
162.08,17.7475
163.08,17.7332
164.081,17.7203
165.081,17.7069
166.081,17.6931
167.081,17.6793
168.08,17.6643
169.08,17.6523
170.081,17.6386
171.081,17.6247
172.081,17.6108
173.081,17.5981
174.08,17.583
175.081,17.5698
176.081,17.5565
177.08,17.5436
178.081,17.5296
179.081,17.519
180.081,17.5043
181.08,17.4896
182.081,17.4761
183.081,17.4631
184.08,17.4488
185.081,17.4352
186.081,17.4199
187.081,17.4071
188.08,17.3937
189.081,17.3809
190.081,17.3669
191.081,17.3547
192.08,17.3411
193.081,17.3273
194.081,17.3131
195.08,17.3007
196.081,17.2854
197.081,17.2716
198.08,17.2593
199.081,17.2463
200.081,17.2323
201.081,17.2169
202.08,17.2052
203.081,17.1913
204.081,17.1781
205.081,17.162
206.08,17.1509
207.081,17.1358
208.081,17.1222
209.081,17.1085
210.08,17.0966
211.081,17.0824
212.081,17.0706
213.08,17.0581
214.081,17.0437
215.081,17.0298
216.081,17.0173
217.081,17.0052
218.081,16.9911
219.08,16.9796
220.081,16.9658
221.081,16.9523
222.08,16.9412
223.081,16.9279
224.081,16.914
225.08,16.9044
226.081,16.8912
