t (s),V (mV)
227.081,16.8767
228.08,16.8658
229.081,16.8522
230.08,16.8416
231.081,16.8291
232.081,16.8143
233.08,16.8048
234.081,16.7911
235.081,16.7773
236.08,16.7674
237.081,16.7551
238.081,16.7422
239.08,16.7307
240.081,16.7182
241.081,16.7052
242.081,16.6923
243.08,16.6816
244.081,16.6679
245.081,16.6556
246.081,16.6431
247.08,16.6305
248.081,16.6184
249.081,16.6065
250.081,16.5935
251.08,16.5818
252.081,16.5705
253.081,16.5576
254.081,16.5453
255.08,16.5335
256.081,16.5215
257.081,16.5001
258.081,16.4014
259.08,16.4605
260.081,16.4643
261.081,16.4555
262.08,16.446
263.081,16.4341
264.081,16.4218
265.08,16.4102
266.081,16.3988
267.081,16.3855
268.08,16.3759
269.081,16.3652
270.081,16.3513
271.08,16.3393
272.081,16.3263
273.081,16.3136
274.08,16.3019
275.081,16.289
276.08,16.2777
277.081,16.2654
278.081,16.2527
279.08,16.2416
280.081,16.2298
281.08,16.2194
282.081,16.2054
283.081,16.1931
284.08,16.1826
285.081,16.1692
286.081,16.1562
287.08,16.1455
288.081,16.133
289.081,16.1209
290.08,16.1102
291.081,16.0964
292.081,16.0835
293.08,16.073
294.081,16.06
295.081,16.0468
296.08,16.0358
297.081,16.0229
298.081,16.0109
299.08,16.0002
300.081,15.9868
301.08,15.9768
302.081,15.9634
303.08,15.9517
304.081,15.9385
305.08,15.9289
306.081,15.9157
307.081,15.9045
308.08,15.8949
309.081,15.8823
310.081,15.8696
311.08,15.8592
312.08,15.8471
313.081,15.8348
314.08,15.8249
315.081,15.8127
316.081,15.7988
317.08,15.7886
318.081,15.7777
319.081,15.7644
320.08,15.7545
321.081,15.7422
322.081,15.7306
323.08,15.7209
324.081,15.7083
325.081,15.6968
326.08,15.6864
327.081,15.6743
328.081,15.662
329.08,15.6521
330.081,15.641
331.081,15.6292
332.08,15.6202
333.081,15.6078
334.081,15.5971
335.08,15.5868
336.081,15.5755
337.08,15.5663
338.081,15.5542
339.081,15.5414
340.08,15.5328
341.081,15.519
342.08,15.5095
343.081,15.4991
344.08,15.4875
345.081,15.4755
346.081,15.4647
347.081,15.4555
348.081,15.4417
349.08,15.4311
350.081,15.4205
351.08,15.4091
352.081,15.3985
353.081,15.3874
354.08,15.3756
355.081,15.3637
356.08,15.3522
357.081,15.3416
358.081,15.3298
359.08,15.3184
360.081,15.3079
361.08,15.2968
362.081,15.2857
363.08,15.2734
364.081,15.2629
365.081,15.2518
366.08,15.2386
367.081,15.2296
368.08,15.2197
369.081,15.2257
370.08,15.2107
371.081,15.1882
372.08,15.1734
373.081,15.1617
374.08,15.1488
375.081,15.1382
376.081,15.128
377.08,15.1137
378.081,15.1039
379.081,15.0932
380.08,15.08
381.081,15.069
382.081,15.058
383.08,15.0469
384.081,15.0371
385.081,15.0256
386.081,15.0146
387.08,15.0047
388.081,14.9928
389.081,14.9834
390.08,14.9713
391.081,14.9619
392.081,14.9502
393.08,14.9403
394.081,14.9303
395.081,14.9192
396.081,14.9083
397.08,14.8989
398.081,14.8884
399.08,14.8811
400.081,14.8708
401.081,14.8606
402.08,14.8524
403.081,14.8419
404.08,14.834
405.081,14.823
406.08,14.8132
407.081,14.8025
408.08,14.7931
409.081,14.7819
410.08,14.7726
411.081,14.7607
412.08,14.7512
413.081,14.74
414.08,14.7295
415.081,14.7185
416.08,14.7084
417.081,14.6968
418.08,14.6864
419.081,14.6753
420.08,14.6655
421.081,14.6529
422.08,14.6438
423.081,14.632
424.08,14.6223
425.081,14.6101
426.08,14.5994
427.081,14.5874
428.08,14.577
429.081,14.5649
430.08,14.5548
431.082,14.5404
432.081,14.5313
433.08,14.5215
434.081,14.5092
435.08,14.498
436.081,14.4867
437.08,14.478
438.081,14.4656
439.08,14.4555
440.081,14.4445
441.08,14.4341
442.081,14.423
443.081,14.4127
444.08,14.4023
445.081,14.3924
446.08,14.3819
447.081,14.3711
448.08,14.3607
449.081,14.35
450.081,14.3392
451.08,14.3306
452.081,14.3203
453.081,14.3116
454.08,14.3004
455.081,14.2907
456.081,14.2811
457.08,14.2707
458.081,14.2613
459.081,14.252
460.08,14.2413
461.081,14.2314
462.08,14.2214
463.081,14.2121
464.08,14.2013
465.081,14.1927
466.08,14.1809
467.081,14.1711
468.08,14.1618
469.081,14.1531
470.08,14.1413
471.081,14.1333
472.081,14.1232
473.081,14.1135
474.08,14.1035
475.081,14.095
476.081,14.0845
477.08,14.0745
478.081,14.0645
479.081,14.0552
480.08,14.0447
481.081,14.0363
482.08,14.0239
483.081,14.0153
484.08,14.0041
485.081,13.9949
