t (s),V (mV)
0,20.8904
1,20.8686
2.001,20.8457
3.001,20.8211
4.001,20.7978
5.001,20.774
6,20.7504
7.001,20.7264
8,20.7036
9.001,20.6799
10,20.6582
11.001,20.6357
12.001,20.6104
13,20.5893
14.001,20.5653
15.001,20.5426
16.001,20.5212
17,20.4997
18.001,20.4752
19,20.4535
20.001,20.4306
21,20.409
22.001,20.3863
23,20.3655
24.001,20.341
25.001,20.318
26,20.2968
27.001,20.2747
28.001,20.2522
29.001,20.2293
30.001,20.2076
31.001,20.1849
32.001,20.1624
33,20.1414
34.001,20.1196
35.001,20.0965
36,20.0765
37.001,20.0531
38.001,20.0321
39,20.0103
40.001,19.9855
41.001,19.9645
42,19.9468
43.001,19.9253
44,19.9035
45,19.883
46.001,19.8631
47,19.8433
48.001,19.8203
49,19.8016
50.001,19.7792
51,19.7602
52.001,19.738
53,19.7173
54.001,19.6952
55,19.6762
56.001,19.6556
57.001,19.6369
58.001,19.6169
59,19.5972
60.001,19.5767
61,19.5577
62.001,19.537
63,19.5165
64.001,19.497
65,19.4776
66.001,19.4565
67.001,19.4356
68.001,19.4158
69,19.3959
70.001,19.3757
71,19.3553
72.001,19.3342
73,19.3148
74.001,19.2952
75.001,19.276
76,19.2577
77.001,19.2376
78.001,19.219
79.001,19.2003
80.001,19.1811
81,19.1631
82.001,19.1436
83,19.1243
84.001,19.1041
85,19.0865
86.001,19.0672
87.001,19.0477
88.001,19.0289
89.001,19.0114
90.001,18.9905
91.001,18.9734
92.001,18.9535
93,18.936
94.001,18.9159
95,18.9005
96.001,18.8824
97,18.8646
98.001,18.8453
99,18.8271
100,18.8092
101.001,18.7913
102,18.7727
103.001,18.754
104,18.7351
105.001,18.7173
106,18.699
107.001,18.6802
108.001,18.6618
109,18.6436
110.001,18.626
111,18.607
112.001,18.5892
113.001,18.5709
114.001,18.5516
115.001,18.5336
116.001,18.5147
117.001,18.4966
118,18.478
119.001,18.4595
120.001,18.4409
121.001,18.4231
122.001,18.4039
123.001,18.3861
124.001,18.3668
125,18.3457
126.001,18.3285
127,18.3097
128.001,18.2922
129,18.2723
130.001,18.2542
131,18.2368
132.001,18.2188
133.001,18.1998
134.001,18.1822
135.001,18.1646
136,18.148
137.001,18.1295
138,18.1135
139.001,18.0954
140.001,18.0806
141,18.0651
142.001,18.0458
143.001,18.0315
144.001,18.0135
145.001,17.9966
146.001,17.9785
147.001,17.9606
148,17.9438
149.001,17.9253
150,17.9069
151.001,17.8886
152,17.8708
153.001,17.8531
154,17.832
155.001,17.8147
156,17.7949
157.001,17.778
158,17.7597
159.001,17.7422
160.001,17.7236
161.001,17.7061
162.001,17.6894
163.001,17.6731
164,17.6566
165,17.6402
166.001,17.6238
167.001,17.607
168.001,17.5906
169.001,17.5736
170.001,17.5569
171.001,17.5397
172.001,17.5235
173,17.5082
174.001,17.4904
175,17.4748
176.001,17.4567
177.001,17.4413
178,17.4253
179.001,17.4071
180.001,17.3917
181.001,17.3739
182.001,17.3573
183,17.3435
184.001,17.3249
185.001,17.3095
186.001,17.2906
187.001,17.2751
188,17.2591
189.001,17.2424
190,17.226
191.001,17.2091
192,17.1941
193.001,17.1763
194.001,17.1602
195,17.1448
196.001,17.1276
197,17.1119
198.001,17.0955
199,17.0791
200,17.0634
201.001,17.0466
202,17.0306
203.001,17.014
204.001,16.9964
205,16.9798
206.001,16.9635
207.001,16.9472
208,16.9303
209.001,16.9145
210.001,16.8972
211.001,16.8817
212,16.865
213.001,16.8475
214,16.8318
215.001,16.8152
216,16.7989
217.001,16.7831
218.001,16.7665
219,16.7503
220.001,16.7352
221.001,16.7187
222,16.7014
223.001,16.6864
224.001,16.6706
225,16.6536
226.001,16.6392
227,16.622
228.001,16.6059
229,16.5889
230.001,16.5738
231,16.5561
232.001,16.5413
233,16.5255
234.001,16.5101
235,16.4938
236.001,16.4794
237,16.4636
238.001,16.4498
239.001,16.4334
240,16.4167
241.001,16.4011
242,16.3857
243.001,16.3711
244.001,16.3557
245,16.3402
246.001,16.3259
247.001,16.3096
248.001,16.2938
249.001,16.2792
250,16.2629
251.001,16.2476
252.001,16.2318
253,16.2156
254.001,16.2012
255.001,16.1855
256.001,16.1702
257,16.1548
258.001,16.1395
259.001,16.1229
260,16.108
261.001,16.092
262.001,16.0758
263,16.0606
264.001,16.0463
265.001,16.0307
266,16.0141
267,15.9988
268.001,15.9832
269.001,15.9671
270,15.9501
271.001,15.9369
272,15.9202
273.001,15.9069
274.001,15.8915
275,15.8738
276.001,15.8594
277.001,15.8437
278,15.8274
279.001,15.8139
280.001,15.7985
281,15.7825
282,15.7663
283.001,15.753
284.001,15.7381
285,15.7253
286.001,15.7114
287.001,15.6949
288.001,15.6791
289,15.6634
290.001,15.6501
291,15.634
292.001,15.6202
293,15.605
294.001,15.5907
295,15.5753
296.001,15.5603
297,15.5453
298.001,15.5303
299.001,15.5156
300.001,15.5016
301.001,15.4861
302,15.4719
303.001,15.4566
304,15.492
305.001,15.4692
306.001,15.43
307,15.4042
308.001,15.3846
309.001,15.3695
310,15.3558
311,15.3419
312.001,15.3274
313.001,15.3137
314.001,15.2987
315,15.2862
316.001,15.2705
317.001,15.2581
318,15.2464
319,15.2332
320.001,15.2191
321.001,15.206
322.001,15.1942
323,15.1801
324.001,15.1658
325.001,15.151
326,15.1367
327.001,15.123
328.001,15.1086
329,15.0945
330.001,15.0803
331.001,15.0654
332,15.0507
333,15.0368
334.001,15.0226
335.001,15.0098
336,14.9935
337,14.9783
338.001,14.9644
339.001,14.9482
340,14.9329
341,14.9173
342.001,14.9034
343.001,14.8886
344.001,14.8744
345,14.8608
346.001,14.8473
347.001,14.8343
348.001,14.8195
349,14.8074
350.001,14.7935
351.001,14.7805
352.001,14.7679
353,14.755
354.001,14.742
355.001,14.7304
356,14.7174
357.001,14.7034
358.001,14.6926
359.001,14.6792
360,14.6657
361.001,14.6527
362.001,14.6379
363,14.6243
364.001,14.6103
365.001,14.5967
366,14.5817
