t (s),V (mV)
367.001,14.5693
368.001,14.554
369,14.5399
370.001,14.5265
371,14.5115
372.001,14.4984
373.001,14.482
374,14.4667
375,14.4514
376.001,14.438
377.001,14.4233
378.001,14.4083
379.001,14.395
380.001,14.3818
381.001,14.3682
382,14.3545
383,14.3411
384.001,14.3285
385.001,14.3147
386,14.3024
387,14.2898
388.001,14.2771
389.001,14.2649
390.001,14.253
391,14.2416
392,14.2288
393,14.2171
394.001,14.2044
395.001,14.1927
396.001,14.1784
397.001,14.1658
398,14.152
399.001,14.1389
400.001,14.1259
401,14.1137
402.001,14.0987
403.001,14.0861
404.001,14.0716
405.001,14.0584
406.001,14.0456
407.001,14.0307
408.001,14.017
409,14.0014
410,13.9876
411.001,13.9747
412.001,13.9607
413.001,13.9467
414,13.9335
415.001,13.9207
416.001,13.9073
417.001,13.8946
418,13.8818
419.001,13.8687
420,13.8566
421.001,13.844
422.001,13.8312
423.001,13.8197
424.001,13.8076
425.001,13.7961
426,13.7836
427.001,13.7699
428.001,13.7588
429.001,13.7476
430,13.7361
431.001,13.7209
432,13.7098
433,13.6973
434.001,13.6836
435.001,13.6731
436,13.6611
437.001,13.646
438.001,13.6348
439.001,13.6226
440.001,13.608
441.001,13.5954
442.001,13.5823
443.001,13.5702
444,13.5589
445.001,13.5429
446.001,13.5318
447.001,13.519
448.001,13.5068
449,13.4944
450.001,13.4808
451.001,13.4681
452.001,13.4557
453.001,13.4433
454.001,13.4301
455.001,13.4179
456,13.4055
457,13.3927
458.001,13.3795
459.001,13.3678
460.001,13.3545
461.001,13.3429
462.001,13.3309
463,13.3176
464,13.3049
465.001,13.2909
466.001,13.2785
467.001,13.2669
468.001,13.2546
469.001,13.2421
470.001,13.2295
471,13.2177
472,13.2048
473.001,13.1919
474.001,13.1788
475.001,13.1674
476.001,13.1553
477.001,13.1445
478.001,13.132
479,13.1196
480,13.1112
481.001,13.098
482.001,13.0838
483.001,13.0698
484.001,13.0552
485.001,13.0437
486.001,13.0297
487.001,13.0176
488,13.005
489,12.9906
490.001,12.9786
491.001,12.967
492.001,12.9547
493.001,12.943
494.001,12.9327
495,12.9213
496,12.9055
497,12.8918
498.001,12.8783
499.001,12.8666
500.001,12.8534
501.001,12.8413
502,12.829
503.001,12.8161
504.001,12.8033
505.001,12.7916
506.001,12.78
507.001,12.7686
508.001,12.7567
509.001,12.7459
510.001,12.7337
511.001,12.7226
512.001,12.7109
513.001,12.7004
514.001,12.6888
