t (s),V (mV)
0,13.377
0.975,13.3339
1.976,13.292
2.976,13.25
3.976,13.2081
4.975,13.1647
5.975,13.1232
6.976,13.0816
7.976,13.0416
8.976,13.0009
9.976,12.9619
10.976,12.9223
11.976,12.8815
12.976,12.8417
13.976,12.8018
14.975,12.7632
15.975,12.7225
16.976,12.6834
17.976,12.6455
18.976,12.6072
19.976,12.5684
20.975,12.5332
21.975,12.4956
22.975,12.4577
23.976,12.421
24.975,12.3835
25.976,12.3448
26.975,12.3082
27.976,12.2711
28.976,12.2343
29.976,12.1963
30.976,12.1593
31.976,12.1221
32.976,12.0837
33.975,12.0481
34.976,12.0114
35.976,11.9751
36.975,11.9367
37.976,11.901
38.976,11.8662
39.976,11.8291
40.975,11.7925
41.975,11.7549
42.975,11.7198
43.975,11.684
44.975,11.6485
45.975,11.6132
46.975,11.5769
47.976,11.5431
48.975,11.5067
49.976,11.4734
50.976,11.4378
51.976,11.4027
52.975,11.3682
53.976,11.3341
54.976,11.2994
55.976,11.2657
56.976,11.2308
57.975,11.197
58.976,11.1643
59.976,11.1302
60.976,11.098
61.976,11.0641
62.976,11.0311
63.975,10.9976
64.975,10.9642
65.976,10.9318
66.976,10.8982
67.976,10.8655
68.975,10.832
69.976,10.8011
70.976,10.7677
71.976,10.7356
72.975,10.7018
73.975,10.6691
74.976,10.6379
75.976,10.6054
76.975,10.5741
77.974,10.5416
78.974,10.5096
79.974,10.4778
80.974,10.4458
81.974,10.415
82.974,10.384
83.974,10.3516
84.974,10.321
85.974,10.2899
86.974,10.2594
87.974,10.2292
88.974,10.1966
89.974,10.1661
90.974,10.1339
91.974,10.102
92.974,10.0732
93.974,10.0442
94.974,10.015
95.975,9.9854
96.975,9.9554
97.976,9.9254
98.976,9.8954
99.976,9.8657
100.975,9.8366
101.975,9.8064
102.975,9.7776
103.976,9.7485
104.976,9.7187
105.976,9.6891
106.975,9.6616
107.976,9.6327
108.976,9.6032
109.976,9.5742
110.975,9.5461
111.976,9.5173
112.976,9.4895
113.976,9.4616
114.975,9.4339
115.976,9.4051
116.975,9.3771
117.976,9.3487
118.976,9.3199
119.975,9.2935
120.976,9.266
121.975,9.2403
122.976,9.2122
123.975,9.1866
124.976,9.1591
125.976,9.1332
126.976,9.1048
127.976,9.0781
128.976,9.0525
129.976,9.0259
130.975,8.9996
131.975,8.9721
132.976,8.9456
133.976,8.919
134.976,8.892
135.975,8.8656
136.976,8.8383
137.976,8.8119
138.976,8.7871
139.975,8.7607
140.976,8.7345
141.976,8.7088
142.976,8.6829
143.975,8.6564
144.975,8.6306
145.976,8.6059
146.976,8.5795
147.976,8.5535
148.976,8.5276
149.975,8.502
150.976,8.4764
151.976,8.4512
152.976,8.426
153.976,8.4003
154.976,8.375
155.976,8.3495
156.976,8.3249
157.976,8.2998
158.975,8.2739
159.975,8.2505
160.976,8.2244
161.976,8.2008
162.976,8.1772
163.975,8.1517
164.975,8.1283
165.976,8.1029
166.976,8.0787
167.976,8.0547
168.975,8.0299
169.975,8.0067
170.975,7.9826
171.976,7.9572
172.975,7.9336
173.976,7.9076
174.975,7.885
175.975,7.8603
176.976,7.8362
177.976,7.8136
178.976,7.7899
179.976,7.7661
180.976,7.7423
181.976,7.7188
182.976,7.6959
183.976,7.6731
184.975,7.6504
185.975,7.6268
186.976,7.6025
187.976,7.5814
188.975,7.5586
189.975,7.5352
190.975,7.5134
191.975,7.4913
192.975,7.4694
193.975,7.447
194.975,7.4248
195.976,7.4032
196.975,7.3808
197.976,7.3595
198.975,7.3373
199.976,7.3162
200.975,7.2944
201.975,7.2718
202.975,7.2498
203.976,7.2291
204.976,7.207
205.976,7.1866
206.976,7.1639
207.976,7.1426
208.975,7.121
209.976,7.1017
210.976,7.0797
211.976,7.0588
212.975,7.0357
213.976,7.0164
214.976,6.9944
